"vcfID","C19_STAND_BLUE","C19_DTP_BLUE","C19_EH_BLUE","C19_PH_BLUE","C19_FL_BLUE","C19_TE_BLUE","C19_TIL_BLUE","C19_LA_BLUE","C19_EL_BLUE","C19_EW_BLUE","C19_KRN_BLUE","C19_Germ_BLUE","C19_STAND_BLUP","C19_DTP_BLUP","C19_EH_BLUP","C19_PH_BLUP","C19_FL_BLUP","C19_TE_BLUP","C19_TIL_BLUP","C19_LA_BLUP","C19_EL_BLUP","C19_EW_BLUP","C19_KRN_BLUP","C19_Germ_BLUP"
"Baxters_Golden_Bantam",3.9746096572759,52.2050142858089,20.2720485517215,130.056422236422,93.26702817897,36.3182682522029,1.99427211965453,41.1790721620523,87.9856010496039,31.2254703921757,10.2170695644078,30.9525173109909,4.81754827175532,53.4769279504599,22.0076363090873,130.811673026137,94.4957338854043,35.5808300624121,1.83426858343175,41.9897201659585,98.7343823506409,32.1472562195123,11.0262471007783,35.6850631584618
"Bi_10",5.15537476955387,69.2040562067154,70.1214963986528,184.971006602258,150.916717087906,33.3697665504411,-0.195555581711473,31.9387947729331,154.843303044122,38.5326117683787,12.9914455285474,38.8246787348909,6.11875877910869,65.731989124909,62.3396358009086,178.73635918896,143.899438512402,33.534174089206,0.668983502950028,36.3650511885196,146.230071779049,36.9784171072311,13.0287569112912,44.2704112738591
"Black_Mexican",11.1527952866907,51.6974966643888,44.1201950314678,188.427796856995,148.450906590192,39.9841504133151,2.20795106618455,40.6120167340881,149.138776038828,34.7658343115583,8.45614371980823,85.2765585979253,10.4337442070658,53.017386990093,43.0231498179255,184.942979840129,145.023260328331,38.6501167295457,2.02194365871724,41.4628741051471,144.72907037043,34.5067147904529,9.0499950247568,80.2143868595593
"C13",12.4844583540537,47.0139048972247,14.8488808703594,106.769583225158,79.1022224726268,27.9726170110176,0.947646469550772,37.5143974330979,128.155740601266,37.0859369256783,11.5432757717326,96.0550465952054,11.4810821228414,49.3433340607546,17.3428373821946,109.834381114072,81.9013652437887,29.2926476958055,1.1652070893747,39.0515778759831,127.812263423894,36.4259385624688,11.8025744499723,88.6477259773425
"C15",3.15279528669075,53.1974966643888,26.1201950314678,125.427796856995,94.9509065901922,30.4841504133151,0.707951066184556,41.1120167340881,NA,NA,NA,23.7765585979253,4.17854774932741,54.2235836706559,27.2493749197392,127.07952432846,96.4291596674273,31.2768484717704,0.989287791940197,41.8590819898364,NA,NA,NA,29.9636124011991
"C1540",10.4036136323773,72.1431118519859,112.639570196992,252.944840422773,211.52939822834,41.4678660020184,0.609773630634381,26.4782600429384,125.171661587151,33.0698633130014,16.021190605955,80.5107494841993,9.86747774284028,69.581220022349,102.959345062276,244.185067563432,202.288470549172,39.8169323041268,0.878516084469993,30.1442274888691,125.469215591953,33.225161009081,15.6695640437829,75.9671321623353
"C18",11.4844583540537,52.0139048972247,23.3488808703594,110.269583225158,75.6022224726268,34.9726170110176,1.94764646955077,52.5143974330979,100.46817815841,31.6392620829779,13.0951060149178,88.3550465952054,10.6991825656241,53.3639896626309,24.7915644174493,113.049017531387,78.722311929524,34.7255822015348,1.85364433389273,50.9378144166618,107.929485854064,32.3863227853347,13.1913983746388,82.3561655980031
"C2",8.65279528669075,64.1974966643888,30.1201950314678,160.927796856995,119.450906590192,40.9841504133151,0.707951066184556,39.6120167340881,164.138776038828,38.2658343115583,16.9561437198082,66.0765585979253,8.47899531402258,63.0690259947838,30.7546582304473,159.685122275512,118.682532867281,39.4262502303642,0.989287791940197,40.6704583357685,157.250906217863,37.3641384981144,16.3285614500977,64.5263401993883
"C22",10.1527952866907,57.6974966643888,46.6201950314678,172.427796856995,132.950906590192,38.9841504133151,1.20795106618455,33.6120167340881,108.434249033534,38.999056854738,13.9208419110691,77.5765585979253,9.65184464984854,57.8421737123446,45.2139518871181,170.247499075261,130.944595650873,37.8739832287273,1.33350641419921,35.9159637194971,112.607425074091,37.4205132542939,13.6189191427235,73.9228264802199
"C23_su",7.90361363237733,60.1431118519859,45.5762653420659,132.568159848057,104.287727857348,27.575467471594,2.10977363063438,46.9782600429384,110.671661587151,34.5698633130014,14.021190605955,61.2607494841993,7.91272884979701,59.9316465778459,43.1716203252645,134.291447834312,105.187697385117,29.8601587442451,1.91117195124704,46.38875076113,113.364774272768,34.4497711695074,13.9569601789968,60.2382312139868
"C27",9.62682708993029,58.6403055506444,14.7449824763334,119.688189337426,92.0692795665396,26.8681670688655,1.36306590817093,37.5511269312923,103.914452046863,33.3790410802772,12.6042575464776,73.5452383023212,9.25658814240861,58.6297874445787,17.2185744430308,121.47068620034,93.5064173605942,28.329041533557,1.44454423973459,39.0381567379727,107.428942792553,33.4270360708263,12.7051896169594,70.6579024921116
"C27red",NA,57.462470116238,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350941191315087,NA,57.8880208605782,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8723144084139
"C31",11.0005778540364,57.2622053995532,26.1472611068559,149.296029755992,112.648655202623,35.9342515966525,1.33915727766815,55.7399619648481,104.281551939986,27.9669236885974,13.0612792744602,84.9338376065951,10.2951519011077,57.5141009404773,27.218672233572,148.819823049615,112.405441816628,35.4241029973516,1.37901213563736,53.5272188809865,110.350449500352,30.0765179300992,13.1225578621122,79.7634210359213
